userName,score,at,content
Honey Mega,3,2025-04-23 02:16:35,ada yg punya pengalaman sama kah? ga bisa log in ke akun krn log in ke hp yg berbeda email saat pendaftaran? padahal nomor hp masih sama dan aktif. hanya berbeda email krn email yg lama diponsel yg udh rusak. dan lupa akun email juga. udah mencoba verifikasi by wa gagal terus. pdhal poinnya lumayan banyak 😌
gagah hutapea,5,2025-04-23 01:46:37,"seneng banget ada alfagift, jadi ga harus kluar rumah untuk beli keperluan, tapi tolong dong stiap mau beli aqua galon slalu tidak tersedia, padahal liat di alfa sekitar ada barangnya."
Hilwa Nasywa,5,2025-04-22 14:59:08,"Aku kasih bintang 5 untuk aplikasi Alfagift,karena belanja untung dengan program POTONGAN HARGA dan CASHBACK untuk pengguna baru ❤️ Awalnya coba2 download Alfagift eh ternyata ada promo buat pengguna baru otomatis dapet dong promo cashback nya hihi serta gratis ongkir tanpa minimal belanja se baik itu aplikasi ini Semoga kedepannya Alfagift semakin maju dan tentunya selalu banyak promo buat pengguna aplikasi Alfagift ini ❤️"
Sisca Dewi,5,2025-04-22 14:55:03,"Selalu The best AQ order di alfagitf banyak promo,mudah , barang diantar tidak pernah salah lengkap n pengantar super cepat ...pas banget lw pas LG keburu belanja buat masakan tq ya Alfagitf *ngebel* kerayawan ramah n gercep banget...."
Nabila Nur Anjani,5,2025-04-22 11:51:39,"sejak kenal Alfagift hidup ku jadi lebih mudah 😄, klo ada kebutuhan yg mendesak bisa langsung pesen tanpa harus keluar rumah, dan dikirim nya pun ngga lama + gratis ongkir, banyak promo. pokonya love u Alfagift 😁"
Faskhalia Trimartani,5,2025-04-22 09:32:38,"aplikasinya mudah digunakan, sering ada promo, pernah order lewat online cepat sekali pengantaran, 🥰 terimkasih semoga semakin ramah melayani ♥☺"
Sofi,1,2025-04-22 09:27:59,"sering ketipu promo ,di rak nya masih ada tulisan promo giliran di kasir bayarnya udh ngga promo , karyawan pun ngga ngejelasin klo itu udh ngga promo klo semisal emng udah ngga promo yaudah d ganti hrganya ,jngn yang masih promo d pajang trus ...trus transaksi ada yang di lebih kan ,beli 3 macam jdi 4 ..."
Adelia Rawista Vijayanti,3,2025-04-22 09:26:16,"agak kurang di pelayanannya sih... status sedang dalam pengiriman, tapi pas alfa nya di chat, belum diantar sama sekali..."
welis melia,5,2025-04-22 08:38:39,"Terimakasih alfagift, sejak kenal alfagift jadi nggak bingung lagi untuk masalah belanja bulanan, dan kebutuhan harian lainya. Tinggal pilih aja barang yang kita perlukan, dianter deh sampe depan pintu tanpa biaya tambahan lagi.. Cocok banget untuk mak2 yang masih ribet sama krucil 😍😍 sangat membantu #AlfagiftBebasOngkir👍👍"
Reni Candra,5,2025-04-22 08:31:13,"Aku kasih bintang 5 untuk alfagift,karena belanja untung dengan program favoritku JSM di Alfagift, Biasanya q belanja mingguan di alfagift, wow banyak diskonnya dan dan banyak cashback juga double poin ,untungnya jadi berkali2 lipat dong. Suka belanja sembako di alfagift tinggal pencet2 g perlu repot belanjaan datang cepat dan sat set. Harapan buat alfagift semoga semakin banyak programnya dan hadiah2nya juga makin banyak dan menarik,diskonnya makin banyak .best alfagift sukses dan jaya selalu🥰"
Apriyanto Romadhon,5,2025-04-22 08:29:20,"Aku kasih bintang 5 ya, karena apliaksi Alfagift banyak promonya contoh JSM. Aku ketagihan belanja di Alfagift, karena bener2 double2 untungnya. Banyak promo, ada voucher potongan harga, ada voucher cashback, dapat poin, dapat star, gratis ongkir. Belanja berapapun tanpa batas minimal di antar langsung ke rumah, proses cepat bgt gak nyampe 1 jam udah sampe rumah. Pembayaran yang praktis. Oya untuk pembayaran kalo bisa di tambah pake BRIVA. Sukses selalu untuk Alfagift❤❤❤"
Majesta Herdi,5,2025-04-22 08:25:44,"Pokoknya bintang limaa aku suka bgt belanja pake Alfagift karena byk promonya, byk produk yang bisa ditebus murah, dan yang paling penting sih gratis ongkir sepuasnya. Tinggal pesen dari kos, dianter sampe depan pintu. Bener2 tinggal nunggu di kos sambil nugas tanpa harus antri dan bawa belanjaan berat2 🤣 Byk cashback juga dan selalu dapet double A-poin karena byr pake gopay. Pokoknya best deh. Harapanku semoga selalu gratis ongkir dan semakin banyak promonya, beneran andalan bgt, luv Alfagift"
susanti anwar,5,2025-04-22 08:22:11,"saya kasih bintang 5 utk aplikasi alfagift soalnya belanjanya untung banget pake aplikasi ini dgn program harga special dan cashback nya. jadi tu aku sering belanja dari alfagift untuk beli susu anak, Pampers, sabun mandi dll, kadang dapet double untuk slain cashback dpet lagi cashback pembayaran dr promo kerjasama pembayaran kayak kartu kredit or e-wallet + free ongkir. happy kan mamak 😁. smoga Alfagift bisa menjadi aplikasi belanja yg untung terussss deh biar nambah hemat mamak belanja."
Erlina Umi Salami,5,2025-04-22 08:14:20,"Aku Kasih Bintang 5 karena #AlfagiftBebasOngkir Saya senang banget belanja di alfagift karena karyawan yang rama Chating fast Respond, bisa tebus murah dan dapat promo menarik, semoga Alfagift Selalu menjadi Platfom Belanja nomor 1 sukses selalu🔥"
reni damayanti,5,2025-04-22 08:01:30,"Gak pernah nyesel download Alfagift, karena mempermudah bgt buat kaum mageran kaya aku, tinggal cari barang yg diperluin, pesen delivery, 30mnt kemudian kurir dateng bawa barang yg di order, free biaya ongkir😍 selain mempermudah belanja, aku sering dapet Voucher pot harga & gratis barang, harga promo yg murah, tebus murah, point belanja, program harga spesial. Apk yg gak ribet, tampilan menarik, dan bisa chat toko yg kita order. Semoga Alfagift semakin trs berkembang pesat dan semakin didepan❤"
innes fitria sari,5,2025-04-22 07:40:47,"Belanja gampang ga harus keluar rumah produk sampe depan hehe, banyak promo dan gratis ongkir, makasih alfagift."
Eming Irawan,5,2025-04-22 04:43:52,"mantap alfagift pengirimannya cepat,barangnya lengkap ,happy buanget belanjan di alfagift karena banyak promo,belanja di alfagift free ongkir,pelayanannya ramah sekali.."
Sopyan Harun17,5,2025-04-22 04:34:14,"belanja praktis, hemat dan cepat hanya di alfagift, terima kasih alfagift, Sehat selalu buat mas kurir nya, salam sejahtera😎🙏"
Dadan Hadi,5,2025-04-22 04:25:52,"aplikasi nya simpel mudah di pahami, promonya juga banyak,,, kadang belanja 48rbb cuman bayar 38rbb aja kalo pake Alfa giff,, pengiriman juga super cepat saya kira kurir nya teleportasi ga sape 3 menit nyampe tu pesanan saya,, padahal saya lagi numis ocom di rumah,, kurir nya juga ramah kadang saya ngasih Tiff ke dia karena kelembutan komunikasi nya,, ongkir 0rupiah,😭"
Adnan Ramdani,5,2025-04-22 04:19:34,"Puas banget belanja di alfagift🥰 pengiriman cepat, promonyaa juga banyak bangeett!! udah gitu gratis ongkir!!! jaman sekarang ga pake alfagift yang bnr aja rugi dong,pengiriman cepat gratis ongkir🚀🥳"
Gina Anadiah,5,2025-04-22 03:36:41,"Keren sih ini alfa gift Pengiriman Cepat, bisa cek Promo juga Lengkap pula promonya, Personil Toko Ramah always So pasti Produk Lengkap & Berkualitas ,Pembayaran Mudah banget cuy,kalo ga bisa cash,bisa transfer dong, kalo tanggal tua sudah dipastikan bisa bayar pake point, dan Pengiriman Rapi & Bersih ga usah takut berantakan karna food dan non food dipisah yaa, alhamdulillah Produk Sesuai pesanan, yang seru nya lagi mau belanja berapapun dianterin dong,bebas ongkir pula..Mantap alfa gift kuuu.."
Tri Rianto,5,2025-04-22 03:34:35,sangat membantu saya untuk berbelanja lebih mudah dari rumah . Petugasnya juga ramah ramah . sangat sangat membantu untuk orang yang minim waktu buat berbelanja langsung
IQBAL KOMARUDIN,5,2025-04-22 03:12:03,Pengiriman cepat.. banyak promo sangat membantu sekali kalo malas keluar rumah 🥰😇
Yhana Heu,5,2025-04-22 02:16:36,alfa benar benar sangat membantu kebutuhan kita🫶 terimakasih alfagift sudah hadir di kota kota kami❤️ semoga selalu jaya👏👏👏
Indra Kristia,1,2025-04-21 23:52:12,"aplikasi belanja tapi RIBETNYA ngalahin Mbanking. harus ga boleh root, ga boleh ada aplikasi shizuku, ga boleh ada aplikasi AKSESIBILITAS. ga boleh ini itu ribet!"
Ani Pasya,2,2025-04-21 20:10:41,"saat mo CO, jam pengiriman malah hilang jd ngulang lg pilih jam pengiriman begitu terus berulang"
Apip Piaggio,5,2025-04-21 15:57:27,"apk nya bagus reko mend banget buat belanja online, dan banyak banget fitur serta promonya"
Dikdik Permadi,5,2025-04-21 15:03:59,"Ini nih aplikasi yg saya cari, aplikasi yg bisa belanja kebutuhan harian secara online, tanpa ribet, mana pengiriman nya cepet one day same, pokonya hebat bangeeeeeeeetz"
Chintya Fitriani,5,2025-04-21 11:42:06,"Terima Kasih Alfamart sudah menyediakan pelayanan aplikasi Alfagift dengan fitur yang lengkap dan memudahkan kita dalam bertransaksi, isi pulsa atau pembayaran lainnya bisaa, belanjanya tinggal klik lengkap dengan berbagai metode pembayaran, gratis ongkir pulaa tinggal duduk manis ngga usah nunggu lama barangnya sampai#belanjajadimudah🙏"
Muhamad Aris Riady,5,2025-04-21 11:27:58,mempermudah urusan keperluan dirumah. cukup diem dirumah ada yg anterin. gratis ongkir lagi
Heri Rusdian,5,2025-04-21 11:25:19,"aplikasi sangat membantu,mempermudah belanja online.pengiriman cepat,terima kasih alfagift."
Retno Kurnianingsih,5,2025-04-21 11:23:13,"aplikasi sangat berguna untuk belanja mudah tanpa harus keluar rumah,ditambah slalu ada promo2 yang menarik👍"
Doni Apriliandi,5,2025-04-21 09:21:40,"mempermudah konsumen berbelanja, tidak harus keluar rumah dan antri di kasir dan banyak promonya dan poin nya bisa di tukarkan untuk belanja ,mantaaaap 😁"
Febri Mahardika,5,2025-04-21 09:19:05,mudah untuk berbelanja serta barang yang di butuhkan dapat dapat dicari
Hasan Basri,5,2025-04-21 08:33:55,"Sangat memudahkan berbelanja,poinnya bisa di belanjakan lagi pula,alfagift bisa berbelanja sambil rebahan,mantull pokoknyee😍"
Alisa Ba'abud,5,2025-04-21 08:27:48,"Selama bertahun tahun pakai Alfagift udah banyak banget hadiah yang aku terima. Vouchernya banyak banget dan tiap bulan pasti dapet voucher potongan 20.000. Buat ibu rumah tangga anak masih toddler ada Alfagift gini sangat terbantu sekali. Gak repot keluar rumah buat beli kebutuhan si kecil, tinggal cari di aplikasi Alfagift seperti popok susu dan sabun bayi semuanya gratis ongkir. Pembayaran online sangat mudah, bisa COD pula.. Kakak, temen temenku semua aku suruh download Alfagift recommended!"
Erika dwi,5,2025-04-21 08:14:46,"Apk yg sangat mudah untuk transaksi online. Pengiriman cepat, produk lengkap serta gratiss ongkirr . sangat mantappp"
ela 2,5,2025-04-21 08:11:20,"belanja lebih mudah dengan aplikasi alfagift, banyak promonya menarik dan gratis ongkir"
Muhamad Hilmi,5,2025-04-21 07:58:47,banyak promonya sangat menarik dan cocok buat kebutuhan kita .pelayanann nya gerceppp..👍👍
Reza Pratama,5,2025-04-21 07:57:28,aplikasi mudah di gunakan dan di pahami .jadi ga khawatir ketinggalan promo semenjak punya aplikasi alfagift tinggal liat menu promo terus belanja langsung ke alfamart terdekat ..
Sandy Siregar,5,2025-04-21 07:51:08,"pengiriman Cepat,Barang Lengkap ,suka banget belanja di Alfagift, banyak promonya, dan Gratis Ongkir"
Astri Agustina,5,2025-04-21 07:36:17,"aplikasinya cukup membantu buat belanja kebutuhan sehari-hari, banyak promo menarik dan pengiriman juga lumayan cepat, overall oke banget buat belanja dari rumah"
Egi Santika,5,2025-04-21 07:35:10,"Aplikasi Alfagift benar-benar bantu belanja jadi lebih praktis dan hemat. Fitur lengkap, user friendly, dan selalu ada kejutan menarik tiap hari!"
Fansa Wimala,5,2025-04-21 07:27:26,SUMPAH BANYAK BANGET PROMONYAAAAAAAA!!!!!! bukan cuma promo tp dapat banyak hadiah gratis jg. jd makin semangat belanja di alfagift⭐⭐⭐⭐⭐
Farhan Fahlevi,5,2025-04-21 07:17:40,"pengiriman cepat dan gratis ongkir tanpa minimal belanja, emang paling jossssss"
Rizky Jaelani,5,2025-04-21 07:14:43,"mempermudah konsumen dalam berbelanja,tidak harus keluar rumah,antri di kasir,dan banyak promonyaaa Terimakasih alfamart/alfagift."
Aditya,5,2025-04-21 07:14:42,"Belanja di alfamart banyak promonya,item sangat komplit,benefitnya gratis ongkir juga hemat sekali pokonya senang belanja pakai alfagift👍🏻"
Ariskal Ramadhan,5,2025-04-21 07:13:24,Pengiriman sangat cepat.. gratis ongkir juga pastinya klo belanja disini..😍
Zidane 720,5,2025-04-21 07:09:45,"mantap pengirimannya cepat, barang lengkap mantap, banyak promo nya mantul, puas bgt belanja di alfagift. dan dapatkan pengiriman gratis ongkir mantap mantapp❤‍🔥🔥"
Rizky Agustin,5,2025-04-21 07:06:07,"pengiriman cepat,banyak promonya,belanja gratis ongkir pastinya di alfagift"
Mohamad Yoga,5,2025-04-21 07:03:51,"aplikasi mantap. sangat memudahkan untuk belanja, ketika di rumah , pengiriman cepat kita mantappp"
Rivaldo Saputra,5,2025-04-21 07:00:59,"luar biasa emg Alfamart, jadi semakin gampang buat belanja nya ni, bebas ongkir juga... kerenn🥰🤩"
Setiyo prabowo,5,2025-04-21 06:46:20,"Alfagift sangat membantu dalam pembelanjaan kebutuhan sehari2, merasa sangat terbantukan bisa dikirim tanpa ongkir, pelayanan cepat dan ramah.. keren alfagift"
Nabila Afriani,5,2025-04-21 06:36:03,"Mantap, di alfagift banyak voucher cashback, jadi belanja lebih hemat dehh👏"
alek iskandar,5,2025-04-21 06:27:18,mantap..! banyak promo nya.. mudah di gunakan ..banyak sekali keuntungan nya..
Riko Purnama,5,2025-04-21 06:24:53,Alfagift selalu ada promo setiap hari belanja puas kalo harganya pas
Ihsan Officialll,5,2025-04-21 06:10:33,"Pemesanan sangat mudah,banyak promo, pengiriman cepat, packingnya pun rapih,layanan alfagift membantu sekali bagi orang yg malas belanja keluar."
Siswadi Wadie,5,2025-04-21 06:05:57,Banyak promonya dan sangat membantu apabila yang malas keluar rumah tinggal belanja lewat aplikasi alfagif aja barang langsung di antar sampai rumah
Ahmad Alamsyah,5,2025-04-21 05:53:30,Mempermudah konsumen dalam berbelanja tanpa harus keluar rumah dan barang yang lengkap sehingga menjadi alternatif terbaik dalam berbelanja tanpa harus keluar rumah
Gilang Zikri,5,2025-04-21 05:49:48,"belanja lebih gampang mencari kebutuhan barang sehari hari,dan pengiriman nya jga gratis ongkir untuk yg di antar kerumah"
Safitri Fahlevy,5,2025-04-21 05:47:46,"Aplikasi nya mantap,,,banyak promo Dan kemudahan belanja juga tukar point, bisa untuk belanja online diantar sampai rumah,,🥰"
Fibby Maulani,5,2025-04-21 05:47:29,belanja di alfagift sangat memudahkan dan banyak promo menarik✨
Bryan Aldafa,5,2025-04-21 05:44:58,Ui Aplikasinya bagus banget. Belanja jadi cepat dan gampang. Banyak promo dan pengiriman cepat. Poin juga bisa dikumpulin. Cocok buat belanja harian dari rumah. Mantap!
lyzza alzahra,5,2025-04-21 05:44:27,"mempermudah konsumen dalam berbelanja, tidak perlu keluar rumah tapi tinggal pilih"" barang sesuai kebutuhan, lanjut transaksi pembayaran, nah setelah itu tinggal tunggu barang sampai kerumah^^"
Fany Deputra,5,2025-04-21 05:43:38,"Pengirimannya cepat,mantep banget ini aplikasi,membantu kebutuhan saya bulanan,behh manteppp deh pokonya terbaik...."
Zain Bus,5,2025-04-21 05:38:22,"kalau masalah promo, aplikasi paling update duluan, gaka kalah cepat ama emak2 pemburu promo 😁, aplikasi udah super bagus"
Maharani Safitri,5,2025-04-21 05:37:31,"good banget banyak promo menarik, dapat diantar kerumah dan gratis ongkir"
Miranda Indriyana,5,2025-04-21 05:37:15,"Bagus bat, pengiriman cepat, tanpa ongkir lagi. keren"
Jeli Maulana,5,2025-04-21 05:35:00,jujur ini aplikasi sangat mudah di gunakan bisa tau promo yang sedang berjalan juga pokkknya rekomen
Erlangga Pratama,5,2025-04-21 05:32:32,"Aplikasinya ga pernah eror, pembayaran gampang, poinnya bisa buat belanja, sering diskon gede bisa lebih murah. Tetap pertahankan yaa alfa.. dan improve menjadi lebih baik lagi"
Puspita Anggi Rahayu Putri,5,2025-04-21 05:30:33,"Aplikasi terbaik yg memudahkan untuk berbelanja online, melihat produk promo, dan terdapat banyak voucher belanja maupun cashback, belanja puas harga pas👍."
Darsoem,5,2025-04-21 05:25:33,"banyak promonya, aplikasi mudah di gunakan pas baget buat yg mau belanja tapi males keluar rumah. tinggal pesan lewat aplikasi"
Reyhan Rukmana,5,2025-04-21 05:23:36,"pengirimannya cepat, dan banyak promo yang menarik, kualitas barang juga baguss"
Eva rosela Dewi,5,2025-04-21 05:23:29,"informasi & variasi barang nya lengkap,promonya banyak bangettt, pengiriman nya juga cepet gratis ongkir pula, pokoknya rekomen... gak nyesel pake apk alfagift buat belanjaaaaa"
mumu muchsin,1,2025-04-21 05:20:10,dulu download ada saldo nya... sekarang ganti point... point nya gak di pake kadaluarsa... auto uninstall aja lah tidak berguna..
DW PRAYOGA (Yoga),5,2025-04-21 05:08:31,"Aplikasi yang sangat membantu untuk yang suka belanja tapi mager keluar rumah, pengiriman cepat barang aman transaksi gratis ongkir👍"
Dwi Ningsih,5,2025-04-21 05:06:52,pesanan cepat sampai dan yg paling penting gratis ongkir berapapun nilai belanjaan nya.mantabb
Bahrudin Zen,5,2025-04-21 05:06:34,"Memudahkan belanja online bisa dari mana saja dan kapan saja Pengiriman Cepat Barang Lengkap Banyak Promo Happy banget belanja di Alfagift, banyak promonya Belanja Gratis Ongkir pastinya di Alfagift"
Ahmad Zunaedi,5,2025-04-21 05:02:54,"cukup mudah di gunakan, banyak sekali promo"" menariknya,pengiriman yang cepatt dan lengkap barangnyaa"
Noer Din,5,2025-04-21 05:00:33,Aplikasi yg sangat bermanfaat untuk sayah yg jarang keluar rumah..jadi kalu mau apa2 tinggal belaja lewat alfagif dan diantar sampai depan rumah.
Ramzi Al-farizi,5,2025-04-21 04:33:21,"aplikasi sangat membantu untuk belanja secara praktis, dan bisa di antarkan ke rumah makin praktis ❤️❤️❤️"
Arya Adit,5,2025-04-21 04:31:51,"Aplikasinya user friendly, ga pernah eror, pembayaran gampang, poinnya bisa buat belanja, sering diskon gede bisa lebih murah dr marketplace pinter2 aja mantengin harga2nya. mantapp"
Slam Yudi Rismanto,5,2025-04-21 04:29:01,Pengiriman sangat cepat dan kurir quick respon... promo menarik... banyak discon nya Terima kasih
Vitaa H,5,2025-04-21 04:22:00,"Apk yg sangat membantu jika mager belanja keluar ,Karena bisa belanja online d anter kerumah tanpa ongkir😍"
ibnu fazha,5,2025-04-21 04:21:51,"Aplikasi masa depan dengan pengiriman paling tercepat kilat, gatau kenapa seneng banget mesen lewat aplikasi ini karna fast respon yang sangat sangat luar biasa dan kurir nyaa sangat ramah sekaliii, yang paling hebat kalo hujan gede badai pasti tetep dikirim walaupun basah kuyubbb, ter debest lah alfagift muach, dan kalo kita gapernah kekuarangan barang saat pesanan tiba, selalu tepaatt, i likeee dehhh🔥🔥🔥"
Adi Mulyadi,5,2025-04-21 04:06:49,Promo lengkap dan pembayaran nya mudah mantap beutttt
Rahmah Febiani,5,2025-04-21 03:51:54,"Aplikasi yang sangat membantu dapat memudahkan kita untuk belanja online kalo lagi ingin stay dirumah, pengirimannya juga cepat, dan banyak promo promo update setiap harinya"
Elsaa fitrianii,5,2025-04-21 03:49:11,"Alfagift sangat membantu untuk kaum yang males belanja keluar, bisa belanja berbagai kebutuhan sehari-hari tanpa harus keluar rumah. Pengirimannya juga cepattt!!"
Sultan Rijaaa,5,2025-04-21 03:48:29,"Aplikasi yang sangat simpel bisa belanja dan diantar kerumah dengan cepat,terima kasih alfagift telah membantu"
Sri Deva,5,2025-04-21 03:29:48,"aplikasi rekomen bnget, didalamnya tersedia produk lengkap dan berkualitas, lebih enaknya bisa diantar sampai rumah👍🏻"
Ayu tri lestari,5,2025-04-21 03:28:52,"sya mau ksh bintang 5 soalnya klau blnja online lwt alfa gift Pengiriman Cepat,Barang Lengkap,Banyak Promo,Happy banget belanja di Alfagift, banyak promony,Belanja Gratis Ongkir pastinya di Alfagift."
Muhamad Sandi,5,2025-04-21 03:27:34,Terima kasih alfagift. belanja jadi lebih mudah dan gak harus keluar rumah kalau mager
syahrul mubarok,5,2025-04-21 03:25:39,"pengiriman sangat cepat, bagus dan barangnya sangat terawat, terimakasih alfagift"
Taufik Nur Hidayat,5,2025-04-21 03:21:01,"Aplikasi yang mudah digunakan, pengiriman cepat dan gratis ongkir. Mantap👍"
Dana Maulana,5,2025-04-21 03:18:33,apk yg sngt membantu...bisa belanja online melalui pengiriman yg satset dan bisa bayar dengan cod dan bnyk promo setiap hari nya mantap alfagif
Encep Supriyadi,5,2025-04-21 03:15:31,"alfagift sangat membantu ,selain banyak keuntungannya ,kita juga bisa berbelanja dirumah dan dikirim langsung kerumah tanpa ongkos kirim"
Rafly Al Hakim,1,2025-04-21 03:14:47,"ada fitur chat, biar tau kalo kurirnya uda mau sampe bisa kasi kabar, eh ini malah ga dipake, chat gapernah dibales, di baca doang, gaada ngabarin apa apa tau tau sampe kadang lewat 1 jam, gajelas dasar."
Reza Pratama,5,2025-04-21 03:06:56,"belanja di Alfagift banyak promo+gratis ongkir tanpa minimum belanja, kurir sangat ramah , pengiriman cepat"
Muhammad Ilham agustian,5,2025-04-21 03:03:43,"puas banget belanja di alfagift, selain pengiriman cepat, promonya juga banyak bangett!!"
Hanna Rosadiani,5,2025-04-21 02:56:55,"Aplikasinya bagus, memudahkan belanja apapun, dimanapun dan kapanpun. Banyak vocherrr, juga banyak promooo & poin nya bisa dipakai buaaat belanjaa jugaa🙌🏻"
Vira 033,5,2025-04-21 02:52:53,"aplikasinya lengkap mulai dari perlengkapan bayi,ibu rumah tangga semuanya lengkap,dan juga banyak program seru lainnya✨✨"
Fajar Maulana,5,2025-04-21 02:51:55,semenjak pake alfagift gaperlu lagi datang ketoko. barang langsung diantar dan gratis ongkir juga. pengiriman cepat dan sesuai. bagus banget alfagift
Saepul Malik,5,2025-04-21 02:51:42,"Aplikasi yang sangat membantu,dengan metode pilihan pembayaran yang bervariatif.kapan pun dimana pun kebutuhan rumah tangga bisa dengan gampang dipesan!"
Nurahman Prasetia,5,2025-04-21 02:50:43,"lebih praktis dan lebih mudah belanja nya, bisa delivery gratis ongkir pula, enak banget"
Jembar Muchlis,5,2025-04-21 02:44:42,lebih praktis dan terjangkau untuk mncari store terdekat mantap banget..
yatie fanny,5,2025-04-21 02:36:36,"sangat membantu untuk belanja kebutuhan sehari-hari + pointnya bisa direedem + banyak bgt hadiah khusus member, top deh"
Delisa Indahwati,5,2025-04-21 02:32:51,"aplikasi terbaik, sangat memudahkan untuk berbelanja dimanapun dan kapanpun, serta banyak promo2 menarik juga🤍"
Aditia Permana,5,2025-04-21 02:30:11,aplikasi sangat membantuu dan mudah di gunakan juga ditambahh gratis ongkirnyaa menguntungkan bangettt
